88,1
108,1
146,1
157,1
176,1
234,1
234,0
234,1
235,1
243,1
250,1
253,1
254,1
264,1
264,1
264,1
265,1
266,1
269,1
269,0
271,1
279,1
279,0
282,1
283,1
284,1
285,0
286,1
286,1
287,0
287,1
293,1
293,1
295,1
297,1
298,1
298,0
299,1
300,1
301,1
303,1
303,0
304,0
304,1
305,1
308,1
310,1
311,0
311,0
313,1
314,1
315,1
316,0
317,1
318,0
318,1
318,1
318,1
321,1
321,1
321,1
322,1
323,1
325,1
326,1
326,0
327,0
328,1
329,1
331,1
332,1
333,1
334,1
336,0
337,1
337,1
338,0
339,1
339,1
339,1
340,1
342,1
342,1
343,1
344,1
345,0
345,0
347,1
347,1
348,0
350,1
350,0
350,1
351,1
352,0
353,1
353,1
353,1
354,0
358,1
362,1
362,1
364,0
364,0
364,1
366,1
367,0
368,0
368,0
369,0
369,0
369,0
370,0
370,1
370,0
370,1
370,1
370,1
371,0
372,0
372,1
372,1
372,0
374,0
374,1
375,1
375,0
376,1
376,1
376,0
376,1
377,0
377,1
377,0
378,1
378,1
379,0
379,0
380,0
380,0
381,1
382,1
382,1
382,0
383,1
383,1
384,0
384,1
384,1
385,0
385,0
386,1
386,0
386,1
388,0
388,1
388,0
388,0
389,0
389,1
389,0
389,0
390,0
390,1
390,0
391,1
391,0
391,0
391,0
392,1
393,0
393,0
393,0
393,1
393,0
394,1
394,0
394,0
395,1
396,1
397,0
397,0
397,0
397,0
397,1
398,0
398,0
398,0
398,1
398,0
398,0
399,0
399,0
400,0
400,1
400,0
400,0
400,1
400,0
402,1
402,1
402,0
403,0
403,0
403,0
404,0
404,0
404,0
404,1
405,0
405,0
406,0
406,1
406,1
406,1
407,1
409,0
409,1
409,1
409,0
409,0
410,0
410,0
411,0
411,1
412,0
412,0
412,0
412,1
412,1
413,1
413,1
413,1
413,0
413,1
413,0
414,1
414,0
414,0
414,0
415,1
415,0
415,1
415,0
415,1
416,0
416,0
417,0
417,0
417,1
417,0
417,0
417,1
418,1
418,1
419,1
419,1
419,0
419,0
419,1
419,0
420,0
420,0
420,0
421,0
421,0
421,0
421,0
421,0
421,0
421,0
422,0
422,1
423,1
423,1
